Country;ATHE;SPIR;CREL;MREL;IND;IREL;EUTH
AT;10,2;10,7;12,3;31,9;21,5;13,4;3,56
BE;23;6,4;5,3;21,7;33;10,7;5,79
BG;0;0;0;0;0;0;0
CH;11,6;13,3;10,3;18,8;22,2;23,7;4,09
CY;;;;;;;
CZ;42,2;7,2;5,1;10,4;28;7;4,27
DE;41,85;3,5;5,95;21,9;19,05;7,75;3,66
DK;21,8;12,7;3,6;21;34,3;6,5;5,81
EE;22,9;19,8;4,4;12,5;29,8;10,7;3,59
EL;;;;;;;
ES;13,3;6,5;7,8;28,5;22,3;21,5;4,99
FI;21,8;5;6,8;34;20,8;11,7;5,05
FR;25,5;11,3;4;12,4;35,9;10,9;5,74
HR;4,9;3,6;23;43,3;16,5;8,7;3,01
HU;17,4;5,8;11,4;28,4;26,8;10,2;3,49
IE;5,2;2,9;16,1;24,9;13;37,8;2,73
IS;;;;;;;
IT;6,7;3,2;36,7;33;11,6;8,9;3,63
LI;;;;;;;
LT;7,7;1,9;15,7;46,5;22,4;5,7;3,93
LU;15,3;10,2;5,3;25;32,4;11,8;5,26
LV;;;;;;;
ME;;;;;;;
MK;;;;;;;
MT;0,7;0,6;77,1;9,7;4,1;7,9;1,43
NL;18,9;14,4;13,4;21,4;20;11,8;5,6
NO;22,9;8,7;6,9;22,7;32,8;6;4,71
PL;2,9;0,2;47,2;37,4;5;7,2;2,39
PT;4,5;1,5;0,2;28,4;13,5;51,9;3,35
RO;;;;;;;
SE;23,3;14,5;5;9,3;37,9;10;5,44
SI;10,1;10,6;9,8;25;35,9;8,5;4,49
SK;16,1;0,8;20,8;25;11,3;25,9;3,17
TR;;;;;;;
UK;13,7;9,55;7,95;15,8;22;31,05;3,94
